Date_reported, Country_code, Country, WHO_region, New_cases, Cumulative_cases, New_deaths, Cumulative_deaths
2020-01-03,CN,China,WPRO,0,0,0,0
2020-01-04,CN,China,WPRO,1,1,0,0
2020-01-05,CN,China,WPRO,0,1,0,0
2020-01-06,CN,China,WPRO,3,4,0,0
2020-01-07,CN,China,WPRO,0,4,0,0
2020-01-08,CN,China,WPRO,0,4,0,0
2020-01-09,CN,China,WPRO,0,4,0,0
2020-01-10,CN,China,WPRO,0,4,0,0
2020-01-11,CN,China,WPRO,0,4,0,0
2020-01-12,CN,China,WPRO,41,45,1,1
2020-01-13,CN,China,WPRO,0,45,0,1
2020-01-14,CN,China,WPRO,0,45,0,1
2020-01-15,CN,China,WPRO,0,45,0,1
2020-01-16,CN,China,WPRO,0,45,0,1
2020-01-17,CN,China,WPRO,4,49,1,2
2020-01-18,CN,China,WPRO,0,49,0,2
2020-01-19,CN,China,WPRO,76,125,1,3
2020-01-20,CN,China,WPRO,77,202,1,4
2020-01-21,CN,China,WPRO,93,295,2,6
2020-01-22,CN,China,WPRO,147,442,11,17
2020-01-23,CN,China,WPRO,132,574,1,18
2020-01-24,CN,China,WPRO,261,835,8,26
2020-01-25,CN,China,WPRO,462,1297,16,42
2020-01-26,CN,China,WPRO,688,1985,14,56
2020-01-27,CN,China,WPRO,776,2761,26,82
2020-01-28,CN,China,WPRO,1772,4533,49,131
2020-01-29,CN,China,WPRO,1464,5997,2,133
2020-01-30,CN,China,WPRO,1739,7736,38,171
2020-01-31,CN,China,WPRO,1984,9720,42,213
2020-02-01,CN,China,WPRO,2101,11821,46,259
2020-02-02,CN,China,WPRO,2590,14411,102,361
2020-02-03,CN,China,WPRO,2827,17238,64,425
2020-02-04,CN,China,WPRO,3233,20471,66,491
2020-02-05,CN,China,WPRO,3892,24363,72,563
2020-02-06,CN,China,WPRO,3697,28060,70,633
2020-02-07,CN,China,WPRO,3151,31211,85,718
2020-02-08,CN,China,WPRO,3387,34598,87,805
2020-02-09,CN,China,WPRO,2653,37251,100,905
2020-02-10,CN,China,WPRO,2984,40235,107,1012
2020-02-11,CN,China,WPRO,2473,42708,100,1112
2020-02-12,CN,China,WPRO,2022,44730,5,1117
