Date_reported, Country_code, Country, WHO_region, New_cases, Cumulative_cases, New_deaths, Cumulative_deaths
2020-01-03,GB,The United Kingdom,EURO,0,0,0,0
2020-01-04,GB,The United Kingdom,EURO,0,0,0,0
2020-01-05,GB,The United Kingdom,EURO,0,0,0,0
2020-01-06,GB,The United Kingdom,EURO,0,0,0,0
2020-01-07,GB,The United Kingdom,EURO,0,0,0,0
2020-01-08,GB,The United Kingdom,EURO,0,0,0,0
2020-01-09,GB,The United Kingdom,EURO,0,0,0,0
2020-01-10,GB,The United Kingdom,EURO,0,0,0,0
2020-01-11,GB,The United Kingdom,EURO,0,0,0,0
2020-01-12,GB,The United Kingdom,EURO,0,0,0,0
2020-01-13,GB,The United Kingdom,EURO,0,0,0,0
2020-01-14,GB,The United Kingdom,EURO,0,0,0,0
2020-01-15,GB,The United Kingdom,EURO,0,0,0,0
2020-01-16,GB,The United Kingdom,EURO,0,0,0,0
2020-01-17,GB,The United Kingdom,EURO,0,0,0,0
2020-01-18,GB,The United Kingdom,EURO,0,0,0,0
2020-01-19,GB,The United Kingdom,EURO,0,0,0,0
2020-01-20,GB,The United Kingdom,EURO,0,0,0,0
2020-01-21,GB,The United Kingdom,EURO,0,0,0,0
2020-01-22,GB,The United Kingdom,EURO,0,0,0,0
2020-01-23,GB,The United Kingdom,EURO,0,0,0,0
2020-01-24,GB,The United Kingdom,EURO,0,0,0,0
2020-01-25,GB,The United Kingdom,EURO,0,0,0,0
2020-01-26,GB,The United Kingdom,EURO,0,0,0,0
2020-01-27,GB,The United Kingdom,EURO,0,0,0,0
2020-01-28,GB,The United Kingdom,EURO,0,0,0,0
2020-01-29,GB,The United Kingdom,EURO,0,0,0,0
2020-01-30,GB,The United Kingdom,EURO,0,0,0,0
2020-01-31,GB,The United Kingdom,EURO,0,0,0,0
2020-02-01,GB,The United Kingdom,EURO,0,0,0,0
2020-02-02,GB,The United Kingdom,EURO,0,0,0,0
2020-02-03,GB,The United Kingdom,EURO,0,0,0,0
2020-02-04,GB,The United Kingdom,EURO,0,0,0,0
2020-02-05,GB,The United Kingdom,EURO,0,0,0,0
2020-02-06,GB,The United Kingdom,EURO,0,0,0,0
2020-02-07,GB,The United Kingdom,EURO,0,0,0,0
2020-02-08,GB,The United Kingdom,EURO,0,0,0,0
2020-02-09,GB,The United Kingdom,EURO,0,0,0,0
2020-02-10,GB,The United Kingdom,EURO,0,0,0,0
2020-02-11,GB,The United Kingdom,EURO,0,0,0,0
2020-02-12,GB,The United Kingdom,EURO,0,0,0,0
2020-02-13,GB,The United Kingdom,EURO,0,0,0,0
2020-02-14,GB,The United Kingdom,EURO,0,0,0,0
2020-02-15,GB,The United Kingdom,EURO,0,0,0,0
2020-02-16,GB,The United Kingdom,EURO,0,0,0,0
2020-02-17,GB,The United Kingdom,EURO,0,0,0,0
2020-02-18,GB,The United Kingdom,EURO,0,0,0,0
2020-02-19,GB,The United Kingdom,EURO,0,0,0,0
2020-02-20,GB,The United Kingdom,EURO,0,0,0,0
2020-02-21,GB,The United Kingdom,EURO,0,0,0,0
2020-02-22,GB,The United Kingdom,EURO,0,0,0,0
2020-02-23,GB,The United Kingdom,EURO,0,0,0,0
2020-02-24,GB,The United Kingdom,EURO,0,0,0,0
2020-02-25,GB,The United Kingdom,EURO,0,0,0,0
2020-02-26,GB,The United Kingdom,EURO,0,0,0,0
2020-02-27,GB,The United Kingdom,EURO,0,0,0,0
2020-02-28,GB,The United Kingdom,EURO,0,0,0,0
