Date_reported, Country_code, Country, WHO_region, New_cases, Cumulative_cases, New_deaths, Cumulative_deaths
2020-01-03,RU,Russian Federation,EURO,0,0,0,0
2020-01-04,RU,Russian Federation,EURO,0,0,0,0
2020-01-05,RU,Russian Federation,EURO,0,0,0,0
2020-01-06,RU,Russian Federation,EURO,0,0,0,0
2020-01-07,RU,Russian Federation,EURO,0,0,0,0
2020-01-08,RU,Russian Federation,EURO,0,0,0,0
2020-01-09,RU,Russian Federation,EURO,0,0,0,0
2020-01-10,RU,Russian Federation,EURO,0,0,0,0
2020-01-11,RU,Russian Federation,EURO,0,0,0,0
2020-01-12,RU,Russian Federation,EURO,0,0,0,0
2020-01-13,RU,Russian Federation,EURO,0,0,0,0
2020-01-14,RU,Russian Federation,EURO,0,0,0,0
2020-01-15,RU,Russian Federation,EURO,0,0,0,0
2020-01-16,RU,Russian Federation,EURO,0,0,0,0
2020-01-17,RU,Russian Federation,EURO,0,0,0,0
2020-01-18,RU,Russian Federation,EURO,0,0,0,0
2020-01-19,RU,Russian Federation,EURO,0,0,0,0
2020-01-20,RU,Russian Federation,EURO,0,0,0,0
2020-01-21,RU,Russian Federation,EURO,0,0,0,0
2020-01-22,RU,Russian Federation,EURO,0,0,0,0
2020-01-23,RU,Russian Federation,EURO,0,0,0,0
2020-01-24,RU,Russian Federation,EURO,0,0,0,0
2020-01-25,RU,Russian Federation,EURO,0,0,0,0
2020-01-26,RU,Russian Federation,EURO,0,0,0,0
2020-01-27,RU,Russian Federation,EURO,0,0,0,0
2020-01-28,RU,Russian Federation,EURO,0,0,0,0
2020-01-29,RU,Russian Federation,EURO,0,0,0,0
2020-01-30,RU,Russian Federation,EURO,0,0,0,0
2020-01-31,RU,Russian Federation,EURO,0,0,0,0
2020-02-01,RU,Russian Federation,EURO,0,0,0,0
2020-02-02,RU,Russian Federation,EURO,0,0,0,0
2020-02-03,RU,Russian Federation,EURO,0,0,0,0
2020-02-04,RU,Russian Federation,EURO,0,0,0,0
2020-02-05,RU,Russian Federation,EURO,0,0,0,0
2020-02-06,RU,Russian Federation,EURO,0,0,0,0
2020-02-07,RU,Russian Federation,EURO,0,0,0,0
2020-02-08,RU,Russian Federation,EURO,0,0,0,0
2020-02-09,RU,Russian Federation,EURO,0,0,0,0
2020-02-10,RU,Russian Federation,EURO,0,0,0,0
2020-02-11,RU,Russian Federation,EURO,0,0,0,0
2020-02-12,RU,Russian Federation,EURO,0,0,0,0
2020-02-13,RU,Russian Federation,EURO,0,0,0,0
2020-02-14,RU,Russian Federation,EURO,0,0,0,0
2020-02-15,RU,Russian Federation,EURO,0,0,0,0
2020-02-16,RU,Russian Federation,EURO,0,0,0,0
2020-02-17,RU,Russian Federation,EURO,0,0,0,0
2020-02-18,RU,Russian Federation,EURO,0,0,0,0
2020-02-19,RU,Russian Federation,EURO,0,0,0,0
2020-02-20,RU,Russian Federation,EURO,0,0,0,0
2020-02-21,RU,Russian Federation,EURO,0,0,0,0
2020-02-22,RU,Russian Federation,EURO,0,0,0,0
2020-02-23,RU,Russian Federation,EURO,0,0,0,0
2020-02-24,RU,Russian Federation,EURO,0,0,0,0
2020-02-25,RU,Russian Federation,EURO,0,0,0,0
2020-02-26,RU,Russian Federation,EURO,0,0,0,0
2020-02-27,RU,Russian Federation,EURO,0,0,0,0
2020-02-28,RU,Russian Federation,EURO,0,0,0,0
2020-02-29,RU,Russian Federation,EURO,0,0,0,0
2020-03-01,RU,Russian Federation,EURO,0,0,0,0
2020-03-02,RU,Russian Federation,EURO,0,0,0,0
2020-03-03,RU,Russian Federation,EURO,0,0,0,0
2020-03-04,RU,Russian Federation,EURO,0,0,0,0
2020-03-05,RU,Russian Federation,EURO,0,0,0,0
2020-03-06,RU,Russian Federation,EURO,0,0,0,0
2020-03-07,RU,Russian Federation,EURO,0,0,0,0
